State,Total Electric Vehicle (EV),Total Vehicles,Percent Electric Vehicles
AK,1,63,1.59
AL,1,31,3.23
AZ,1,598,0.17
CA,47,5012,0.94
CO,2,479,0.42
DC,2,178,1.12
DE,2,60,3.33
FL,6,486,1.23
GA,7,491,1.43
HI,3,229,1.31
IL,4,282,1.42
IN,2,8,25.00
KS,2,138,1.45
KY,1,5,20.00
LA,2,22,9.09
MD,25,894,2.80
MI,1,6,16.67
MN,1,45,2.22
MO,4,71,5.63
MS,2,47,4.26
MT,2,34,5.88
NC,8,722,1.11
ND,1,9,11.11
NE,2,75,2.67
NM,3,103,2.91
NV,5,449,1.11
NY,1,22,4.55
OH,2,57,3.51
OR,8,465,1.72
PA,2,56,3.57
SC,1,44,2.27
TN,3,43,6.98
TX,15,1304,1.15
VA,33,2270,1.45
WA,82851,6099984,1.36
WI,1,4,25.00
