Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,NULL,NULL,Passenger,9,4,13,2578,2591,0.50
January 31 2017,Juneau,AK,Passenger,0,1,1,49,50,2.00
January 31 2017,Dale,AL,Passenger,0,1,1,71,72,1.39
January 31 2017,Russell,AL,Passenger,1,0,1,53,54,1.85
January 31 2017,Maricopa,AZ,Passenger,2,0,2,1774,1776,0.11
January 31 2017,Pima,AZ,Passenger,0,1,1,439,440,0.23
January 31 2017,Pinal,AZ,Passenger,2,1,3,243,246,1.22
January 31 2017,Yavapai,AZ,Passenger,1,0,1,78,79,1.27
January 31 2017,NULL,CA,Passenger,1,0,1,482,483,0.21
January 31 2017,Alameda,CA,Passenger,6,1,7,388,395,1.77
January 31 2017,Contra Costa,CA,Passenger,1,0,1,254,255,0.39
January 31 2017,Los Angeles,CA,Passenger,2,1,3,1422,1425,0.21
January 31 2017,Marin,CA,Passenger,1,0,1,53,54,1.85
January 31 2017,Monterey,CA,Passenger,0,1,1,237,238,0.42
January 31 2017,Orange,CA,Passenger,1,1,2,716,718,0.28
January 31 2017,Riverside,CA,Passenger,0,1,1,864,865,0.12
January 31 2017,San Diego,CA,Passenger,4,3,7,2885,2892,0.24
January 31 2017,San Mateo,CA,Passenger,0,1,1,169,170,0.59
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,137,138,0.72
January 31 2017,Santa Clara,CA,Passenger,5,3,8,452,460,1.74
January 31 2017,Tulare,CA,Passenger,1,0,1,206,207,0.48
January 31 2017,Ventura,CA,Passenger,0,2,2,389,391,0.51
January 31 2017,El Paso,CO,Passenger,1,1,2,872,874,0.23
January 31 2017,Larimer,CO,Passenger,0,1,1,89,90,1.11
January 31 2017,District Of Columbia,DC,Passenger,0,3,3,237,240,1.25
January 31 2017,Collier,FL,Passenger,0,1,1,19,20,5.00
January 31 2017,Duval,FL,Passenger,1,1,2,369,371,0.54
January 31 2017,Manatee,FL,Passenger,1,0,1,52,53,1.89
January 31 2017,Marion,FL,Passenger,1,0,1,24,25,4.00
January 31 2017,Miami-Dade,FL,Passenger,0,1,1,128,129,0.78
January 31 2017,Okaloosa,FL,Passenger,1,0,1,186,187,0.53
January 31 2017,Orange,FL,Passenger,0,1,1,147,148,0.68
January 31 2017,Polk,FL,Passenger,1,0,1,65,66,1.52
January 31 2017,Saint Lucie,FL,Passenger,1,0,1,30,31,3.23
January 31 2017,Sumter,FL,Passenger,0,1,1,9,10,10.00
January 31 2017,Volusia,FL,Passenger,0,1,1,49,50,2.00
January 31 2017,Cobb,GA,Passenger,0,1,1,74,75,1.33
January 31 2017,Dekalb,GA,Passenger,1,0,1,84,85,1.18
January 31 2017,Fulton,GA,Passenger,1,2,3,126,129,2.33
January 31 2017,Gwinnett,GA,Passenger,0,1,1,90,91,1.10
January 31 2017,Honolulu,HI,Passenger,4,1,5,642,647,0.77
January 31 2017,Maui,HI,Passenger,1,0,1,81,82,1.22
January 31 2017,Canyon,ID,Passenger,0,1,1,102,103,0.97
January 31 2017,Latah,ID,Passenger,0,1,1,130,131,0.76
January 31 2017,Madison,ID,Passenger,1,0,1,45,46,2.17
January 31 2017,Lake,IL,Passenger,1,0,1,195,196,0.51
January 31 2017,Dekalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2017,Hamilton,IN,Passenger,1,0,1,67,68,1.47
January 31 2017,Riley,KS,Passenger,1,0,1,98,99,1.01
January 31 2017,Hardin,KY,Passenger,0,1,1,132,133,0.75
January 31 2017,Orleans,LA,Passenger,0,1,1,53,54,1.85
January 31 2017,Anne Arundel,MD,Passenger,0,2,2,518,520,0.38
January 31 2017,Charles,MD,Passenger,0,1,1,90,91,1.10
January 31 2017,Howard,MD,Passenger,0,1,1,96,97,1.03
January 31 2017,Montgomery,MD,Passenger,1,2,3,306,309,0.97
January 31 2017,Saint Marys,MD,Passenger,0,1,1,200,201,0.50
